student_id,first_name,last_name,age,major,GPA,enrollment_date,graduation_date,advisor,study_mode,stuDent_loCAtion
426,Lusa,Schimpke,21,Computer Science,invalid,garbled_date,2024-12-12, Lusa Schimpke ,Part-time,on-campus
44,Kelsey,Bevington,25,Biology,1.98,2019-12-09,09/17/2025,Kelsey Bevington,Full-time, On-Campus 
640,Danyelle,Echalie,19,Computer Science,1.1,2020-08-19,05/09/2024,,Hybrid,on-campus
310,Cort,Bellee,21,Biology,1.77,12/06/2023,03/24/2021,Cort Bellee,Full-time,off campus
508,Cheri,Leasor,25,Biology,0.14,2019-02-13,2024-05-11,Cheri Leasor,Part-time,
206,Melonie,Clawley,19,Biology,1.34error,01/17/2020,2025-09-09,Melonie Cuawley,Part-time,OFFCAMPUS
49,Vassili,Loxton,22,History,invalid,garbled_date,12/29/2023, Vassili Loxton ,Full-time,oncampus 
898,Dannie,Kleanthous,20,History,2.0error,2021-02-23,02/07/2024, Dannie Kleanthous ,Part-time,OFFCAMPUS
343,Amandie,Cornelissen,19,History,2.09,invalid-date,2024-08-01,Amagdie Cornelissen,Full-time,off campus
51,Caressa,Veldens,18,Computer Science,1.0,2019-10-15,2025-10-17,Caressa Veldens,Online,oncampus 
559,Yul,McQueen,25,Biology,invalid,garbled_date,03/01/2024,Yul McQueen,Part-time,on-campus
631,Cilka,Yurkin,23,Biology,3.72,2019-06-02,2023-10-12,Cilka Yurkin,Hybrid,off campus
578,Kristan,Jesse,20,Computer Science,2.38,2020-10-20,05/25/2023, Ktistan Jesse ,Online,off campus
969,Jenda,Longland,23,History,12.78,09/20/2019,11/03/2024,Jenda Longland,Part-time, On-Campus 
873,Joshuah,Bartolijn,24,Biology,0.12,invalid-date,invalid-date,Joshuah Bartolijn,Part-time,oncampus 
190,Hale,Rubenczyk,18,Biology,1.85,,2024-02-24,Hale Rubenczyk,Full-time,OFFCAMPUS
367,Ramonda,Ivushkin,21,Computer Science,invalid,garbled_date,2024-07-01, Ramonda Ivushkin ,Full-time,off campus
972,Madonna,Hazeldean,25,History,0.26,07/06/2021,2024-04-06,Madonna Hazeldean,Part-time,off campus
823,Sloan,Calderon,24,Biology,2.82,12/07/2019,2025-06-01,Sloan Calderon,Online,off campus
123,Davis,Ebbutt,21,Biology,0.1,invalid-date,09/03/2023,Davis Ebbutt,Full-time,off campus
214,Correy,Yakovitch,18,Computer Science,13.36,06/26/2019,04/10/2025, Correy Yakovitch ,Part-time,on-campus
724,Larry,Bushnell,19,History,2.46,01/21/2021,11/09/2025,Larry Bushnell,Full-time, On-Campus 
722,Giraud,Birchenough,18,Biology,3.98,06/12/2019,12/21/2025,Giraud Birchenough,Part-time,on-campus
740,Kev,Kondratovich,22,History,0.36,invalid-date,11/17/2025,Kev Kondratovich,Part-time,on-campus
31,Tann,Shreenan,23,History,-3.0,2019-02-15,2024-06-10,Tann Shreenan,Full-time,off campus
718,Quintina,McCullen,18,History,3.29,2021-11-08,12/03/2023, Quintina McCullen ,Hybrid,off campus
99,Atlante,Billion,22,History,1.57,01/06/2021,2025-12-02,,Full-time,oncampus 
157,Noak,Brecknell,22,Computer Science,1.06,invalid-date,05/28/2021,Noak Brecknell,Full-time,off campus
983,Tiffanie,Sagerson,23,Biology,2.19,2020-02-16,2024-10-24, Tiffanie Sagerson ,Part-time,
548,Melisande,Smither,20,History,2.25,2019-08-12,01/19/2023,Meliaande Smither,Part-time,on-campus
850,Abbie,Pettman,25,History,2.37,11/16/2020,10/22/2023,,Full-time,off campus
568,Jareb,Strettell,19,Biology,15.0,invalid-date,2024-04-13, Jareb Strettell ,Full-time, On-Campus 
743,Breanne,McKeand,22,Biology,2.09,03/08/2020,2025-05-28,Breanne McKeand,Part-time,
209,Briggs,Gorrie,21,History,13.4,2020-01-21,08/30/2023,BriggsdGorrie,Full-time,on-campus
504,Gertrude,Tomkiss,20,Biology,0.33,2020-01-12,06/25/2023, Gertrude Tomkiss ,Full-time, On-Campus 
871,Isaac,Kayley,18,History,3.45,11/16/2020,04/24/2023,Isaac Kayley,Hybrid,oncampus 
134,Brander,Godard,18,History,3.27,04/25/2020,08/15/2025,Brander Godard,Full-time,off campus
818,Niel,Bilovsky,18,History,invalid,garbled_date,02/06/2023,Niel Bilovsky,Part-time,OFFCAMPUS
129,Sherye,Magauran,25,Computer Science,0.13,02/05/2021,10/23/2025, Sherye Magauran ,Full-time,
675,Pollyanna,Paslow,19,History,1.81,2021-09-17,07/24/2025, Pollyanna Paslow ,Part-time,on-campus
514,Mariette,Saintsbury,18,Biology,0.91,03/07/2019,11/18/2025,Mariette Saintsbury,Part-time,off campus
811,Loree,Barwise,24,History,good,invalid-date,09/01/2021, Loree Barwise ,Online, On-Campus 
368,Ruddie,Hawkins,19,History,3.0,09/07/2021,04/18/2023,Ruddie Hawkins,Full-time,off campus
70,Lisette,Strothers,21,History,-0.08,08/22/2023,10/12/2021,,Full-time,on-campus
475,Lu,Robertet,21,History,invalid,garbled_date,02/16/2024,Lu Robertet,Online,off campus
441,Forster,Stitcher,18,Computer Science,2.46,02/17/2020,03/29/2024,Forster Stitcher,Part-time,on-campus
588,Mitchell,Yurlov,24,Computer Science,3.14,07/15/2019,2025-12-16, Mitchell Yurlov ,Part-time,on-campus
709,Florentia,Meus,22,Computer Science,2.45,2019-02-18,10/31/2023, Florentia Meus ,Part-time, On-Campus 
334,Ellswerth,Chason,21,Biology,invalid,garbled_date,2025-11-30,Ellswerth Chason,Hybrid,on-campus
256,Aldric,Diss,20,Biology,0.26,2020-03-05,07/17/2025,Aldric Diss,Full-time,on-campus
930,Carena,Spillard,19,Biology,1.31,03/21/2021,2024-08-22,Carena Spillarn,Part-time,off campus
912,Hendrick,Osanne,19,History,3.94,06/30/2021,2024-02-15,Hendrick Osanne,Online,off campus
205,Dario,Tansley,22,History,1.05,09/24/2020,2023-02-09,Dario Tansley,Full-time,oncampus 
903,Mannie,Giamitti,23,History,1.82,2019-05-13,2025-09-03, Mannie Giamitti ,Part-time,oncampus 
610,Etta,Millican,24,Biology,good,12/29/2020,03/06/2025,Etta Millican,Full-time,off campus
525,Leeland,Brogden,18,Biology,good,2021-11-09,09/22/2025,Leeland Brogden,Full-time,off campus
528,Manfred,Bilovus,25,Computer Science,0.67,2021-07-24,2025-09-09, Manfred Bilovus ,Full-time,off campus
703,Sada,Sinclaire,21,Biology,1.78,2019-06-23,04/26/2023,,Full-time,on-campus
132,Shirlene,Markie,21,Computer Science,invalid,garbled_date,,khirlene Markie,Full-time,off campus
626,Midge,Rohlfing,24,History,0.52,01/14/2020,2024-11-22,Midge Rohlfing,Online,on-campus
717,Chariot,Lofting,21,History,1.52,11/24/2019,02/20/2024,Chariot Lofting,Online,on-campus
113,Tracie,Fishlock,25,History,invalid,garbled_date,03/07/2024,Tracie Fishlock,Full-time, On-Campus 
237,Gustav,Hegel,21,Biology,0.19,2020-08-07,2023-01-28, Gustav Hegel ,Full-time,oncampus 
375,Roxana,Ceccoli,22,Biology,0.59,09/17/2021,2023-12-06, Roxana Ceccoli ,Full-time,on-campus
151,Osbourne,Towson,22,Biology,1.34,12/30/2021,2023-04-20,Osbourne Towson,Full-time,off campus
337,Pegeen,Petry,20,History,10.45,2021-01-19,10/06/2025, Pegeen Petry ,Full-time, On-Campus 
250,Erena,Rex,18,Computer Science,2.24,2021-12-28,,Erena Rex,Full-time, On-Campus 
545,Lorne,Marchment,21,History,2.05,03/03/2020,08/24/2025,Lorne Marchment,Full-time,on-campus
792,Dorisa,Magee,23,Biology,0.46,02/26/2020,05/16/2025,Dorisa Magee,Part-time,off campus
727,Lavina,Surmeir,18,History,1.24,2019-06-24,04/06/2023,Lavina Surmeir,Full-time,off campus
396,Myles,Batrip,19,Computer Science,2.9,04/04/2021,2025-02-20,Myles Batrip,Full-time,off campus
808,Ody,Torrie,20,Biology,good,2024-09-20,2020-08-19, Ody Torrie ,Part-time,off campus
787,Elene,Seignior,20,Biology,2.73,2019-07-26,05/30/2025,Elene Seignior,Part-time,off campus
678,Verna,Chaplin,23,Computer Science,2.26,2021-10-16,2024-09-21,Verna Chaplin,Part-time,on-campus
22,Janetta,Crossfield,21,Computer Science,1.97,08/13/2020,10/10/2025, Janetta Crossfield ,Online,on-campus
513,Alvie,Fudger,19,Biology,3.03,,,Alvie Fudger,Part-time,off campus
849,Costa,Eusden,18,Computer Science,0.63,2019-06-09,06/05/2025,Costa Eusden,Part-time,
318,Janella,Flewin,19,Computer Science,15.0,2020-01-13,01/24/2023,Janella Flewin,Full-time,on-campus
840,Farly,Vlasyuk,25,Biology,0.84,2021-08-28,2023-02-05,Farly Vlasyuk,Online,oncampus 
74,Benn,Bottomore,21,Biology,3.51,2021-09-26,2025-11-09,Benn Bottomore,Full-time,on-campus
660,Wildon,Thring,25,Biology,15.0,2019-06-09,2025-02-18,Wildon Thring,Full-time,on-campus
759,Melly,Cicculini,19,Computer Science,1.01,07/23/2020,2024-10-03,Melly Cicculini,Online,oncampus 
949,Burl,Praundl,24,Computer Science,2.08,12/11/2020,2023-02-28,Burl Praundl,Full-time,off campus
924,Sandro,Sambedge,25,Computer Science,0.08,2021-02-04,04/21/2024,Sandro Sambedge,Full-time, On-Campus 
438,Orlan,Darby,24,Biology,2.01,12/05/2019,06/02/2025,Orlan Darby,Full-time,OFFCAMPUS
704,Jeannie,Syddie,25,Biology,invalid,garbled_date,2025-01-26, Jeannie Syddie ,Full-time,on-campus
931,Demetri,Parrot,23,Biology,2.6,2019-02-24,10/05/2023,Demetri Parrot,Full-time,off campus
231,Elinore,Blucher,25,Computer Science,3.58,04/07/2019,10/15/2023,Elinore Blucher,Full-time,oncampus 
515,Etty,Fawltey,21,Biology,1.7error,2021-05-08,2023-10-12, Etty Fawltey ,Part-time,on-campus
665,Drucill,Blannin,20,Computer Science,2.9,2021-02-05,2023-01-08, Drucils Blannin ,Part-time,on-campus
816,Giana,Davydychev,22,Biology,0.18error,01/03/2020,01/30/2023,Giana Davydychev,Part-time, On-Campus 
320,Ashly,Sudy,20,Computer Science,3.83,2021-04-06,2023-11-11,Ashly Sudy,Full-time,oncampus 
894,Claudelle,Dunk,20,Biology,invalid,garbled_date,12/19/2025,Claudelle Dunk,Part-time, On-Campus 
666,Barth,Winspurr,20,Computer Science,3.24,10/04/2021,09/21/2023, Barth Wiqspurr ,Full-time,oncampus 
516,Alix,Viger,24,Biology,0.89,02/11/2019,11/24/2025, Alix Viger ,Part-time, On-Campus 
864,Emmit,Orsman,25,Computer Science,2.11,2019-05-11,2025-04-10, Emmit Orsman ,Full-time,
673,Sven,Antoszewski,18,History,0.62,06/13/2019,2025-06-05,Sven Antoszewski,Online,OFFCAMPUS
887,Sherwood,Orringe,23,Biology,11.59,2021-05-18,2023-11-01,Sherwood Orrinme,Full-time,oncampus 
934,Culley,Snoxall,23,History,1.35,05/08/2023,2021-07-29,Culley Snoxall,Online,on-campus
116,Natassia,Bergeon,19,Computer Science,3.17,03/19/2019,05/26/2024, Natassia Bergeon ,Part-time, On-Campus 
447,Galvan,Hardwich,24,Computer Science,11.78,,11/17/2023,Galvan eardwich,Full-time, On-Campus 
669,Padget,Cosgry,20,History,0.14,05/23/2019,05/23/2023,Padget Cosgry,Full-time,OFFCAMPUS
478,Quincey,Golthorpp,18,Biology,2.56,07/31/2020,12/23/2024,,Full-time,off campus
733,Koenraad,Ogan,24,Computer Science,1.16,09/18/2025,2020-05-01, Koenraad Ogan ,Part-time,oncampus 
197,Correna,Biddulph,19,Computer Science,1.5,07/07/2020,invalid-date, Correna Biddulph ,Full-time, On-Campus 
614,Blakeley,Skoughman,20,Computer Science,-3.0,02/26/2021,11/17/2025, Blakeley Skoughman ,Full-time,on-campus
988,Brandy,Grieger,23,History,15.0,2019-08-20,2025-09-26,Brandy Grieger,Full-time,on-campus
992,Port,Knok,22,Biology,3.29,2020-06-04,12/25/2025, Port Knok ,Part-time,on-campus
581,Isis,Elan,24,Computer Science,2.78error,01/10/2019,2023-12-26, Isis Elan ,Full-time,off campus
310,Cort,Bellee,21,Biology,1.77,12/06/2023,03/24/2021, Cort Bellee ,Full-time,off campus
945,Daphna,Behnecken,23,Computer Science,1.82,2023-06-06,10/17/2021,Daphna Behnecken,Online,on-campus
869,Cloe,Maydway,23,Biology,2.95,2019-07-18,04/25/2024, Cloe Maydway ,Full-time,off campus
584,Jennica,Lester,20,Computer Science,1.94,2024-05-06,06/17/2020, Jennica Lester ,Part-time,oncampus 
128,Joshua,Pidler,22,History,1.45,2020-03-12,2025-06-16, Joshua Pidler ,Full-time,on-campus
947,Durant,Waplington,20,Computer Science,invalid,garbled_date,09/14/2023,Durant Waplington,Hybrid,on-campus
622,Heidi,Stait,19,Biology,0.62,2021-09-08,06/25/2023,Heidi Stait,Full-time,on-campus
283,Lianna,L'Hommee,19,History,good,07/26/2020,10/31/2023,Lianna L'Hommee,Online,off campus
221,Roberto,Splevings,22,History,-3.0,2020-07-04,01/26/2023,Roberto Splevings,Full-time,on-campus
715,Jeff,Durkin,21,Biology,3.67,2025-02-04,04/02/2019,Jeff Durkin,Full-time,on-campus
59,Rudolph,Rosenblath,24,History,0.53,2019-04-15,08/10/2025, Rudolph Rosenblath ,Online,oncampus 
350,Etienne,Gounot,18,History,good,12/21/2021,2025-12-04, Etieune Gounot ,Full-time,oncampus 
204,Irwinn,Bowerman,25,Biology,15.0,2020-04-10,07/25/2025, yrwinn Bowerman ,Full-time,off campus
184,Gerda,Fickling,22,Computer Science,10.33,10/17/2019,09/18/2025,Gerda Fickling,Online,off campus
291,Carlita,Filon,23,Biology,-3.0,2019-01-05,2025-12-23, Carlita Filon ,Online, On-Campus 
365,Burg,Nerne,22,History,0.43,2025-02-24,2019-12-20,Burg Nerne,Hybrid,off campus
687,Justino,Balaisot,25,History,-3.0,2019-10-30,12/14/2023,Justino Balaisot,Online,off campus
636,Lyndsey,Buie,21,Biology,2.51,2019-05-08,02/18/2023,Lyndsey Buie,Full-time,off campus
590,Julius,Ten Broek,21,History,invalid,garbled_date,2024-11-25, Julius Ten Broek ,Part-time,off campus
395,Chrystel,Hulson,20,History,2.44,05/01/2021,2024-08-20, Chrystel Hulson ,Full-time,off campus
126,Marijn,Gulk,25,Computer Science,1.0,11/12/2023,10/02/2021,Marijn Gulk,Part-time,on-campus
140,Bernie,Ancketill,18,History,1.18,11/30/2020,08/04/2024, Bernie Ancketill ,Hybrid,off campus
784,Rene,Applin,19,History,invalid,garbled_date,07/21/2023,Rene Applin,Hybrid,off campus
47,Wittie,Margach,18,Computer Science,invalid,garbled_date,2025-04-25,Wittie Margach,Part-time,on-campus
547,Marlyn,Doge,22,History,0.18,2021-02-24,2023-09-04,Marlyn Doge,Online, On-Campus 
238,Valaree,Ramsbottom,21,Biology,0.17,2025-08-31,09/29/2020,Valaree Ramsbottom,Part-time,off campus
686,Jareb,Larne,18,Computer Science,1.49,04/29/2020,01/11/2023,Jareb Larne,Hybrid,on-campus
587,Seline,Ash,19,History,2.33,2019-12-09,,Seline Ash,Part-time,off campus
262,Reggi,Collicott,21,History,2.44,2019-03-05,05/10/2023,Reggi Collicott,Full-time, On-Campus 
407,Lu,Corton,18,History,1.46,2019-07-03,01/23/2024, Lu Corton ,Full-time,on-campus
342,Gard,Guild,24,Computer Science,2.9,2019-01-17,10/27/2023,Gird Guild,Part-time,off campus
150,Van,Preddle,20,Biology,-3.0,03/03/2020,2023-11-02,Van Preddle,Part-time, On-Campus 
829,Jaimie,Williams,20,History,2.35,2021-06-04,01/17/2024, Jaimie killiams ,Part-time,on-campus
517,Ursa,Czajkowski,24,Computer Science,3.56,02/09/2019,2024-06-24, Ursa Czajkowski ,Part-time,on-campus
596,Pren,McFeat,20,Computer Science,good,2025-07-12,,Pren McFeat,Online,on-campus
632,Broddie,Quinion,23,History,2.77,2020-11-15,04/23/2024,Broddie Quinion,Full-time,off campus
379,Jenna,Eden,20,History,2.16,2020-05-14,2025-10-22,Jenna Eden,Full-time, On-Campus 
662,Tiffi,Cotes,21,History,good,2021-02-04,2023-09-16, Tiffi Cotes ,Full-time, On-Campus 
346,Fremont,Sulley,25,History,invalid,garbled_date,04/21/2023,Fremont Sulley,Online,on-campus
365,Burg,Nerne,22,History,0.43,2019-12-20,2025-02-24,Burg Nerne,Hybrid,off campus
211,Taddeo,Skitt,21,Biology,invalid,garbled_date,2019-06-27,Taddeo Skitt,Hybrid,on-campus
799,Maddy,Raylton,19,Computer Science,invalid,garbled_date,2020-11-25, Maddy Raylton ,Part-time,on-campus
317,Rayna,Rains,23,History,3.29,02/19/2019,2023-03-10,Rayna Rains,Online,
971,Marissa,Tuffrey,25,Biology,3.89,02/13/2020,2025-02-11,Marissa Trffrey,Full-time,off campus
756,Josefina,Philipard,20,Computer Science,0.62,2021-06-13,2023-07-10,Josefina Philipard,Full-time,off campus
21,Libbie,Avery,21,Biology,0.76,06/26/2020,2025-08-03,Libbie Avery,Part-time,on-campus
777,Dalston,Walkden,19,History,0.84,12/07/2021,2025-04-16, Dalston Walkden ,Hybrid,
329,Eadith,Ward,19,Biology,invalid,garbled_date,05/09/2023, Eadith Ward ,Hybrid,on-campus
509,Kit,Goodridge,24,Computer Science,1.91,02/13/2025,2020-05-03,Kit Goodridge,Part-time,oncampus 
521,Skip,Rains,19,Computer Science,1.51,2020-11-20,, Skip Rains ,Hybrid,on-campus
960,Kippie,Nardoni,25,Biology,0.56,10/31/2021,04/16/2023,Kippie fardoni,Hybrid,
233,Appolonia,Cloake,20,Biology,invalid,garbled_date,2024-07-08, Appolonia Cloake ,Full-time,off campus
17,Rica,O'Cannon,19,Computer Science,invalid,garbled_date,2025-02-09,Rica O'Cannon,Hybrid,on-campus
938,Milli,Slay,25,History,0.96,,2025-11-05,Milli Slay,Online,oncampus 
620,Roxy,Monteith,22,Computer Science,1.88,01/08/2021,04/10/2025,Roxy Monteith,Full-time,off campus
878,Ashely,Kiessel,18,History,2.82,2021-07-21,03/07/2024, Ashely Kiessel ,Online,on-campus
117,Doti,McCuthais,18,History,0.88,2021-04-30,10/03/2024,Doki McCuthais,Part-time,off campus
491,Des,Deroche,19,Biology,0.25,06/11/2025,07/24/2021, Des Deroche ,Full-time,off campus
861,Adham,Profit,21,History,13.61,2019-01-11,07/12/2025,Adham Profit,Full-time,off campus
286,Alick,Oldall,25,Biology,-3.0,2020-04-21,07/24/2023,Alick Oldall,Online,OFFCAMPUS
923,Catlee,Sagg,24,Computer Science,1.48,2019-12-16,2024-12-28,Catlee Sagg,Part-time,off campus
838,Carmine,Fleote,19,History,1.48,10/14/2019,,Carmine Fleote,Full-time,off campus
535,Alexandrina,Wilde,22,History,15.0,05/13/2019,2024-03-04, Alexandrina Wilde ,Full-time, On-Campus 
979,Laina,Traher,23,Biology,0.23,2020-11-06,09/24/2025,Laina Traher,Part-time, On-Campus 
825,Karalee,Blonfield,20,History,3.41,09/02/2019,03/09/2023, Karalee Blonfield ,Part-time,OFFCAMPUS
714,Caz,Gillogley,25,History,0.77,06/04/2020,02/11/2023, Caz Gillogley ,Online,off campus
735,Michaeline,Spindler,25,Computer Science,3.29,2019-08-12,2023-10-25,Michaeline Spindler,Part-time,on-campus
868,Zena,Rasell,25,Biology,invalid,garbled_date,2025-01-06,,Full-time,off campus
579,Betti,Scurr,23,Biology,2.41,2021-04-07,2025-07-12,Betti Scurr,Full-time,off campus
27,Hilda,Couves,21,Biology,3.7error,03/19/2019,06/25/2024,Hilda Couves,Part-time,OFFCAMPUS
577,Venita,Bernardon,19,Biology,0.85,12/25/2020,2023-04-22,Venita Bernardon,Full-time,OFFCAMPUS
522,Wileen,Bracegirdle,18,Computer Science,0.46,2021-02-04,2025-05-05,Wileen Bracegirdle,Full-time,on-campus
251,Torey,Island,24,Biology,0.81,2021-04-04,2024-06-30, Torey Island ,Part-time,on-campus
780,Kahaleel,Wimpress,23,Computer Science,0.11,02/17/2021,01/09/2024, Kahaleel Wimpress ,Full-time,off campus
950,Todd,Drayton,24,Computer Science,0.15,01/24/2021,invalid-date,Todd Drayton,Full-time, On-Campus 
898,Dannie,Kleanthous,20,History,2.0error,2021-02-23,02/07/2024, Dannie Kleanthous ,Part-time,OFFCAMPUS
955,Shayna,Cooksey,22,History,3.91,03/17/2019,2025-05-21,,Part-time,on-campus
531,Ashil,Doerrling,19,Computer Science,3.42,2019-12-08,11/08/2024, Ashil Doerrling ,Full-time,on-campus
454,Arther,Schruurs,23,Biology,0.69,08/13/2020,2024-09-30,Arther Schruurs,Full-time,on-campus
418,Madelon,Foltin,20,Computer Science,3.28,02/09/2019,2024-10-26,Madelon Foltin,Online,off campus
564,Berny,Noto,25,Biology,0.87,2020-05-01,02/09/2025, Berny Noto ,Online,on-campus
589,Milly,Plett,22,Computer Science,3.72,2019-01-01,11/09/2024,Milly Plett,Hybrid, On-Campus 
827,Juliann,Viveash,23,History,3.18,2020-08-15,10/10/2024,Juliann Viveash,Hybrid,OFFCAMPUS
104,Kylie,Dumphy,25,History,10.13,01/26/2019,01/27/2023,Kylie Dumphy,Full-time,OFFCAMPUS
483,Alia,Alger,22,History,1.35,invalid-date,2025-09-17,Alia Alger,Hybrid,OFFCAMPUS
359,Osborn,Sybbe,18,Biology,1.02,09/27/2019,2025-06-01,Osborn Sybbe,Hybrid, On-Campus 
836,Averyl,Patton,23,Biology,1.09,04/03/2020,2025-12-05, Averyl Patton ,Full-time,off campus
59,Rudolph,Rosenblath,24,History,0.53,2019-04-15,08/10/2025, Rudolph Rosenblath ,Online,oncampus 
409,Derk,Zanotti,18,Computer Science,2.9,2023-02-22,10/12/2020, Derk Zanotti ,Online,on-campus
453,Cord,Giacovetti,24,Biology,2.82,09/20/2020,04/28/2025, Cord Giacovetti ,Online, On-Campus 
595,Meryl,O'Feeney,23,Computer Science,0.91,2019-08-22,2024-04-28, Meryl O'Feeney ,Part-time,on-campus
861,Adham,Profit,21,History,13.61,2019-01-11,07/12/2025,Adham Profit,Full-time,off campus
84,Cello,Emps,18,Computer Science,0.37,2020-02-27,12/09/2025,Cello Emps,Part-time,
541,Selestina,Embury,20,Computer Science,12.57,2019-09-04,invalid-date,,Part-time,off campus
348,Itch,Frantz,22,Computer Science,2.13,10/30/2021,2025-04-18,Itch Frantz,Full-time, On-Campus 
995,Oliy,Goosey,22,History,invalid,garbled_date,06/06/2025,Oliy Goosey,Part-time,oncampus 
499,Jennica,Bathurst,22,Biology,1.17,11/18/2021,02/25/2024,Jennica Bathurst,Online,OFFCAMPUS
524,Preston,Pococke,21,Biology,4.0,02/13/2020,2023-11-17,Preston Pococke,Part-time,off campus
742,Dolores,Dinan,23,Biology,2.59error,2019-10-30,06/04/2023, Dolores Dinan ,Full-time,off campus
843,Giorgi,Spain,22,Biology,3.94,2020-03-17,2025-01-25,Gisrgi Spain,Online, On-Campus 
750,Silvain,Siemantel,20,Biology,1.46,10/26/2025,2019-10-04, Silvain Siemantel ,Full-time,on-campus
65,Jeno,Rathbone,22,Computer Science,2.05,07/19/2019,02/07/2024,,Part-time,off campus
769,Kakalina,Usmar,24,History,2.37,invalid-date,06/19/2025, Kakalina Usmar ,Full-time, On-Campus 
41,Wilton,Lorden,24,History,3.53,04/26/2020,2023-06-26,Wilton Lorden,Full-time,off campus
326,Christy,Heggadon,21,History,11.21,2023-08-12,2021-11-27,Christy Heggadon,Full-time,OFFCAMPUS
95,Reidar,Beggi,23,Biology,1.17,10/23/2021,08/16/2023, Reidar Beggi ,Online, On-Campus 
781,Noe,Mansel,25,Biology,2.2error,08/28/2019,01/30/2024,Noe Maqsel,Full-time,OFFCAMPUS
573,Pearl,Mickleburgh,19,Computer Science,1.01,05/18/2021,08/15/2023,Pearl Mickleburgh,Full-time,on-campus
10,Natal,Patesel,25,Computer Science,3.61,invalid-date,2023-10-24,Natal Patesel,Full-time,on-campus
785,Talbert,Philps,25,Biology,1.63,12/06/2020,11/17/2025,Talbert Philps,Full-time, On-Campus 
155,Shae,Triswell,23,Biology,invalid,garbled_date,03/16/2020,Shae Triswell,Full-time,on-campus
633,Joni,Garz,20,Biology,1.11,12/13/2021,2025-01-20,Joni Garz,Full-time,on-campus
376,Amii,Monard,22,Biology,1.02,02/18/2024,05/11/2020,Amii Monard,Online,on-campus
668,Maegan,Brownfield,20,History,1.15,06/16/2021,2025-04-12,Maegan Brownfield,Full-time,on-campus
713,Ari,Gracey,24,Computer Science,3.11,10/30/2019,2024-11-25, Ari Gracey ,Full-time,off campus
277,Christa,Brownsea,19,Computer Science,3.26,05/05/2019,2023-01-01, Christa Brownsea ,Part-time,OFFCAMPUS
762,Nichols,Kores,25,Computer Science,invalid,garbled_date,2024-09-17,Nichols Kores,Online,off campus
322,Siffre,Woodson,25,Biology,3.52,11/04/2020,04/05/2024, Siffre Woodson ,Part-time,OFFCAMPUS
953,Aleta,Adamides,23,Biology,3.57,09/21/2021,07/08/2024, Aleta Adamides ,Online,oncampus 
634,Marketa,Bonevant,24,History,good,10/29/2021,2024-06-12, Marketa Bonevant ,Part-time,off campus
820,Judith,Greensite,25,History,2.18,07/04/2021,2025-08-15,Judith Greensite,Full-time,OFFCAMPUS
334,Ellswerth,Chason,21,Biology,2.03,2019-11-19,2025-11-30,Ellswerth Chason,Hybrid,on-campus
295,Rob,Pendlenton,21,Biology,1.91,,2025-06-26,Rob Pendlenton,Full-time, On-Campus 
34,Midge,Osler,18,Computer Science,invalid,garbled_date,2025-10-04,Midge Osler,Part-time,off campus
12,Ellery,Braikenridge,24,Biology,3.7,2019-07-15,07/17/2023,Ellery Braikenridge,Full-time,on-campus
37,Caresse,Barca,24,Computer Science,invalid,garbled_date,2025-05-12,Caresse Barca,Full-time,off campus
142,Minetta,Wynter,18,Computer Science,2.42,2019-06-29,2023-06-02,Minetta Wynter,Hybrid,on-campus
469,Jayne,Bower,24,History,0.84,12/01/2024,12/24/2019,Jayne Bower,Full-time,
154,Leslie,Korb,23,Biology,0.76,2019-06-01,01/26/2023, Leslie Korb ,Full-time,off campus
920,Violante,Shemmin,24,History,invalid,garbled_date,2024-04-06,Violante Shemmin,Part-time,oncampus 
608,Lillian,Chell,23,Computer Science,3.82,08/27/2019,2023-11-19,Lillian Chell,Full-time,off campus
670,Konstantine,Pedri,22,History,0.49,03/09/2019,2024-10-27,Konstantine Pedri,Part-time,off campus
994,Rozelle,Felderer,25,Biology,good,06/28/2019,11/15/2025,Rozelle Felderer,Full-time, On-Campus 
582,Felix,Kock,23,Computer Science,1.2error,2020-06-17,2023-07-27,Felix Kocg,Full-time,off campus
519,Mari,Curee,21,History,1.69,2020-09-29,2023-02-28,Mari Curee,Part-time,on-campus
81,Stacey,Hambers,21,Biology,3.43,06/20/2023,2021-11-25,Stacey Hambers,Part-time,oncampus 
683,Amye,Peinke,24,Biology,invalid,garbled_date,12/04/2023, Amye Peinke ,Full-time,
778,Raul,Duinkerk,20,History,1.67,2019-01-23,2025-07-24,,Hybrid,off campus
207,Dietrich,Lewknor,23,Computer Science,2.84,2021-04-15,12/12/2025,Dietrich Lewknor,Part-time, On-Campus 
61,Kiele,O'Shevlan,22,Computer Science,3.31,2019-10-20,, Kiele O'Shevlfn ,Full-time,off campus
389,Jenna,Emburey,18,History,3.11,2021-11-05,11/01/2024,Jenna Emburey,Online,off campus
60,Gallagher,Barszczewski,21,Biology,invalid,garbled_date,11/25/2024,Gallagher Barszczewski,Full-time, On-Campus 
965,Carlina,Meharry,20,History,-3.0,08/18/2020,2025-01-09, Carlina Meharry ,Part-time,off campus
852,Aymer,Mattiussi,24,History,11.81,2019-12-24,2025-06-10,Aymer Mattiussi,Full-time, On-Campus 
833,Clywd,Caselli,19,History,1.99,05/17/2020,08/01/2025, Clywd Caselli ,Part-time,OFFCAMPUS
